type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
VS;323161;Volksschule;1814328.7,6025180.7;Alois Dopler-Platz 1;2860;Kirchschlag in der Buckligen Welt;öffentl.;5;100;54;46
VS;323171;Volksschule;1802510.08,6027678.07;Schulgasse 3;2851;Krumbach;öffentl.;6;94;61;33
VS;323181;Volksschule;1807721.65,6064493.99;Schulgasse 8;2821;Lanzenkirchen;öffentl.;8;163;82;81
VS;323201;Volksschule Lichtenegg;1803392.52,6040378.85;Schulstraße 10;2813;Lichtenegg;öffentl.;3;49;21;28
VS;323211;Volksschule;1813852.66,6078976.16;Kirchenplatz 4;2493;Lichtenwörth;öffentl.;7;109;69;40
VS;323231;Volksschule Hochneukirchen-Gschaidt;1803590.56,6017229.74;Schulgasse 1;2852;Hochneukirchen-Gschaidt;öffentl.;4;66;32;34
VS;323241;Volksschule;1794952.07,6085892.03;Bahngasse 1;2753;Markt Piesting;öffentl.;7;124;58;66
VS;323251;Volksschule;1804835.84,6088797.46;Kirchengasse 4;2751;Matzendorf-Hölles;öffentl.;5;84;39;45
VS;323281;Volksschule;1776247.94,6090105.35;Muggendorferstraße 15;2763;Pernitz;öffentl.;8;162;74;88
VS;323301;Volksschule;1751356.87,6089537.11;Rohr 10;2663;Rohr im Gebirge;öffentl.;1;20;11;9
VS;323321;Volksschule;1820093.54,6046656.65;Markt 45;2803;Schwarzenbach;öffentl.;2;41;14;27
VS;323341;Volksschule;1808904.58,6090094.18;Schulgasse 2;2601;Sollenau;öffentl.;10;210;101;109
VS;323361;Volksschule;1803741.7,6084935.85;Steinabrückl, Hauptstraße 5;2751;Wöllersdorf-Steinabrückl;öffentl.;8;165;83;82
VS;323371;Volksschule;1789361.09,6078563.28;Stollhof, Hauptstraße 129;2724;Hohe Wand;öffentl.;3;54;24;30
VS;323381;Volksschule;1808935.33,6083866.34;Roseggerstraße 6;2604;Theresienfeld;öffentl.;10;215;110;105
VS;323411;Volksschule;1786417.42,6085095.62;Waldegg 21;2754;Waldegg;öffentl.;4;59;30;29
BMHSW;323419;Private Höhere Lehranstalt für wirtschaftliche Berufe des Vereins Schulverein Institut Sta. Christiana;1809028.25,6064185.09;Wiener Neustädter Straße 74;2821;Lanzenkirchen;privat;16;254;80;174
VS;323421;Volksschule;1807043.06,6060594.92;Walpersbach 64;2822;Walpersbach;öffentl.;4;58;32;26
VS;323431;Volksschule Weikersdorf am Steinfelde;1797077.88,6074386.23;Blätterstraße 62;2722;Weikersdorf am Steinfelde;öffentl.;2;43;23;20
VS;323441;Volksschule;1813641.75,6043280.65;Schulstraße 22;2811;Wiesmath;öffentl.;4;72;29;43
VS;323451;Volksschule;1793587.2,6074844.86;Frauenbachgasse 366;2722;Winzendorf-Muthmannsdorf;öffentl.;4;76;38;38
VS;323461;Volksschule;1800036.35,6084489.52;Wöllersdorf, Schulgasse 6;2752;Wöllersdorf-Steinabrückl;öffentl.;4;75;41;34
VS;323481;Volksschule;1817579.11,6082474.32;Rathausstraße 7;2492;Zillingdorf;öffentl.;5;89;44;45
VS;323491;Private Volksschule des Vereins Schulverein Institut Sta. Christiana;1809028.25,6064185.09;Wiener Neustädter Straße 74;2821;Lanzenkirchen;privat;5;89;47;42
ASTAT;323501;Privatschule DaVinci Schule am Gut des Vereins Mit Kindern wachsen Bad Fischau-Brunn in 2721 Bad Fischau-Brunn;1799764.74,6078800.74;Wiener Neustädterstraße 12;2721;Bad Fischau-Brunn;privat;5;38;15;23
BMHSP;323810;Private Bildungsanstalt für Elementarpädagogik und Kolleg für Elementarpädagogik des Vereins Schulverein Institut Sta. Christiana;1809028.25,6064185.09;Wiener Neustädter Straße 74;2821;Lanzenkirchen;privat;7;175;10;165
VS;325011;Volksschule;1705816.95,6223834.58;Schulstraße 1;3804;Allentsteig;öffentl.;2;36;22;14
NMSH;325012;Mittelschule;1705816.95,6223834.58;Schulstraße 1;3804;Allentsteig;öffentl.;4;74;42;32
SS;325013;Allgemeine Sonderschule;1705879.71,6223845.88;Schulstraße 1;3804;Allentsteig;öffentl.;2;11;7;4
AHS;325016;Bundesgymnasium und Bundesrealgymnasium;1687471.54,6207975.77;Gymnasiumstraße 1;3910;Zwettl-Niederösterreich;öffentl.;22;462;169;293
VS;325021;Volksschule;1665985.17,6183852.81;Altmelon 49;3925;Altmelon;öffentl.;2;34;11;23
NMSH;325022;Mittelschule;1664816.58,6189222.86;Schulgasse 109;3925;Arbesbach;öffentl.;4;74;41;33
SS;325023;Allgemeine Sonderschule;1687823.73,6208476.66;Hammerweg  2;3910;Zwettl-Niederösterreich;öffentl.;5;29;22;7
VS;325031;Volksschule;1721686.94,6211280.3;Altpölla 50;3593;Pölla;öffentl.;2;34;14;20
NMSH;325032;Mittelschule;1665017.85,6202586.96;Arbesbacher Straße 224;3920;Groß Gerungs;öffentl.;8;127;75;52
SS;325033;Landessonderschule;1705797.73,6222790.65;Ottensteiner Straße 36;3804;Allentsteig;öffentl.;1;4;4;0
VS;325041;Volksschule;1664818.14,6189167.36;Arbesbach 152;3925;Arbesbach;öffentl.;3;46;18;28
NMSH;325042;Mittelschule;1656918.34,6202800.04;Langschlag 115;3921;Langschlag;öffentl.;4;61;38;23
SS;325043;Allgemeine Sonderschule;1694383.94,6177397.41;Michael Jank-Gasse 4;3631;Ottenschlag;öffentl.;3;18;13;5
VS;325051;Volksschule;1670495.72,6172122.5;Bärnkopf 2;3665;Gutenbrunn;öffentl.;1;11;7;4
NMSH;325052;Mittelschule;1694374.53,6177320.34;Michael Jank-Straße 6;3631;Ottenschlag;öffentl.;8;120;58;62
PS;325054;Polytechnische Schule;1687550.09,6207805.68;Gerungser Straße 32;3910;Zwettl-Niederösterreich;öffentl.;5;109;75;34
NMSH;325062;Mittelschule;1678563.43,6193891.06;Rappottenstein 10;3911;Rappottenstein;öffentl.;3;51;36;15
VS;325071;Volksschule;1694063.93,6227576.96;KIrchenberg 2;3903;Echsenbach;öffentl.;4;67;38;29
NMSH;325072;Mittelschule;1673930.09,6182809.19;Schönbach 73;3633;Schönbach;öffentl.;5;89;50;39
PS;325074;Polytechnische Schule;1663988.35,6194759.17;Griesbach 46;3920;Groß Gerungs;öffentl.;2;44;30;14
VS;325081;Volksschule;1673847.22,6200288.59;Etzen 22;3920;Groß Gerungs;öffentl.;2;34;14;20
