type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;lt_type;lt_skz;lt_desc;lt_ipub_desc;lt_street;lt_zip;lt_city;count
VS;621041;Volksschule;1699483.97,6009088.4;Dr.-Theodor-Körner-Straße 15;8600;Bruck an der Mur;öffentl.;8;165;95;70;NMSH;621062;Mittelschule (Dr. Theodor Körner);Neue Mittelschule an Hauptschulen;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;0
VS;621051;Viktor-Kaplan-Volksschule;1742145.73,6036930.78;Hönigsberg, Schulstraße 29;8682;Mürzzuschlag;öffentl.;3;52;23;29;AHS;621036;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Roseggergasse 10;8680;Mürzzuschlag;9
VS;621051;Viktor-Kaplan-Volksschule;1742145.73,6036930.78;Hönigsberg, Schulstraße 29;8682;Mürzzuschlag;öffentl.;3;52;23;29;NMSH;621132;Mittelschule (Peter Rosegger);Neue Mittelschule an Hauptschulen;Roseggergasse 2;8680;Mürzzuschlag;0
VS;621051;Viktor-Kaplan-Volksschule;1742145.73,6036930.78;Hönigsberg, Schulstraße 29;8682;Mürzzuschlag;öffentl.;3;52;23;29;VS;621051;Viktor-Kaplan-Volksschule;Wiederholung der Schulstufe im gleichen Schultyp;Hönigsberg, Schulstraße 29;8682;Mürzzuschlag;0
VS;621051;Viktor-Kaplan-Volksschule;1742145.73,6036930.78;Hönigsberg, Schulstraße 29;8682;Mürzzuschlag;öffentl.;3;52;23;29;VS;621161;Toni-Schruf-Volksschule;Wiederholung der Schulstufe im gleichen Schultyp;Mariazellerstraße 7;8680;Mürzzuschlag;0
VS;621061;Volksschule;1719117.21,6024329.79;Schulplatz 3;8650;Kindberg;öffentl.;9;169;83;86;NMSH;621012;Mittelschule (August Musger);Neue Mittelschule an Hauptschulen;August-Musger-Gasse 10;8650;Kindberg;33
VS;621061;Volksschule;1719117.21,6024329.79;Schulplatz 3;8650;Kindberg;öffentl.;9;169;83;86;AHS;621036;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Roseggergasse 10;8680;Mürzzuschlag;10
VS;621061;Volksschule;1719117.21,6024329.79;Schulplatz 3;8650;Kindberg;öffentl.;9;169;83;86;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;0
VS;621061;Volksschule;1719117.21,6024329.79;Schulplatz 3;8650;Kindberg;öffentl.;9;169;83;86;VS;621061;Volksschule;Wiederholung der Schulstufe im gleichen Schultyp;Schulplatz 3;8650;Kindberg;0
VS;621061;Volksschule;1719117.21,6024329.79;Schulplatz 3;8650;Kindberg;öffentl.;9;169;83;86;NMSH;621152;Mittelschule Sankt Barbara;Neue Mittelschule an Hauptschulen;Mitterdorf im Mürztal, Schulstraße 6;8662;Sankt Barbara im Mürztal;0
