type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;lt_type;lt_skz;lt_desc;lt_ipub_desc;lt_street;lt_zip;lt_city;count
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;129;70;59;AHS;611016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Moserhofstraße 5;8700;Leoben;0
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;129;70;59;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;0
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;129;70;59;NMSH;621052;Mittelschule;Neue Mittelschule an Hauptschulen;Schinitzgasse 15;8605;Kapfenberg;0
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;129;70;59;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;0
VS;621281;Volksschule;1707143.07,6001080.14;Kirchdorf 14;8132;Pernegg an der Mur;öffentl.;4;76;40;36;NMSH;606042;Mittelschule;Neue Mittelschule an Hauptschulen;Schulweg 3;8130;Frohnleiten;13
VS;621281;Volksschule;1707143.07,6001080.14;Kirchdorf 14;8132;Pernegg an der Mur;öffentl.;4;76;40;36;AHS;621016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Keplerstraße 2;8600;Bruck an der Mur;10
VS;621281;Volksschule;1707143.07,6001080.14;Kirchdorf 14;8132;Pernegg an der Mur;öffentl.;4;76;40;36;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;0
VS;621281;Volksschule;1707143.07,6001080.14;Kirchdorf 14;8132;Pernegg an der Mur;öffentl.;4;76;40;36;NMSH;621042;Mittelschule;Neue Mittelschule an Hauptschulen;Hochschloss-Straße 1;8665;Langenwang;0
VS;621291;Volksschule Pogier;1705439.02,6021928.73;Pogier Hauptstraße 14;8605;Kapfenberg;öffentl.;4;80;44;36;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;0
VS;621291;Volksschule Pogier;1705439.02,6021928.73;Pogier Hauptstraße 14;8605;Kapfenberg;öffentl.;4;80;44;36;NMSH;621062;Mittelschule (Dr. Theodor Körner);Neue Mittelschule an Hauptschulen;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;0
VS;621291;Volksschule Pogier;1705439.02,6021928.73;Pogier Hauptstraße 14;8605;Kapfenberg;öffentl.;4;80;44;36;NMSH;621102;Mittelschule;Neue Mittelschule an Hauptschulen;Parkstraße 7;8641;Sankt Marein im Mürztal;0
VS;621291;Volksschule Pogier;1705439.02,6021928.73;Pogier Hauptstraße 14;8605;Kapfenberg;öffentl.;4;80;44;36;VS;621231;Dr.-H.-C. Franz Jonas Volksschule;Wiederholung der Schulstufe im gleichen Schultyp;Walfersam, Karl H. Waggerl-Weg 4;8605;Kapfenberg;0
VS;621301;Volksschule;1684030.56,6019187.75;Niederdorf 85;8611;Tragöß-Sankt Katharein;öffentl.;2;39;23;16;NMSH;621092;Mittelschule;Neue Mittelschule an Hauptschulen;Niederdorf 85;8611;Tragöß-Sankt Katharein;0
VS;621301;Volksschule;1684030.56,6019187.75;Niederdorf 85;8611;Tragöß-Sankt Katharein;öffentl.;2;39;23;16;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;0
VS;621301;Volksschule;1684030.56,6019187.75;Niederdorf 85;8611;Tragöß-Sankt Katharein;öffentl.;2;39;23;16;AHS;621016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Keplerstraße 2;8600;Bruck an der Mur;0
VS;621311;Volksschule;1711052.42,6021047.89;Hauptstraße 9;8642;Sankt Lorenzen im Mürztal;öffentl.;8;165;89;76;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;17
VS;621311;Volksschule;1711052.42,6021047.89;Hauptstraße 9;8642;Sankt Lorenzen im Mürztal;öffentl.;8;165;89;76;NMSH;621102;Mittelschule;Neue Mittelschule an Hauptschulen;Parkstraße 7;8641;Sankt Marein im Mürztal;12
VS;621321;Volksschule;1710657.12,6019996.65;Mozartstraße 5;8641;Sankt Marein im Mürztal;öffentl.;8;123;66;57;NMSH;621102;Mittelschule;Neue Mittelschule an Hauptschulen;Parkstraße 7;8641;Sankt Marein im Mürztal;13
