type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;score;AHS-Unterstufe;Neue Mittelschule an AHS;Neue Mittelschule an Hauptschulen;Sonderschulen;Sonst. allgemeinbild. (Statut)Schulen;Wiederholung der Schulstufe im gleichen Schultyp
VS;317161;Volksschule;1812912.81,6120748.51;Babenbergergasse 20;2340;Mödling;öffentl.;1;25;8;17;1;14;;3;;;
VS;312141;Volksschule Niederhollabrunn;1814215.63,6184283.18;Bruderndorf, Schulplatz 1;2004;Niederhollabrunn;öffentl.;2;30;17;13;0.7738095238095237;13;;4;;;
VS;108041;Volksschule;1833894.81,6022193.77;Dörfl,Obere Hauptstraße 119;7453;Steinberg-Dörfl;öffentl.;2;44;27;17;0.5681818181818181;14;;9;;;
VS;313581;Volksschule;1722100.5,6173317.29;Weißenkirchen in der Wachau 169;3610;Weißenkirchen in der Wachau;öffentl.;2;41;17;24;0.5226480836236933;12;;1;;;
VS;612051;Volksschule;1606659.09,6026526.15;Bärndorf;8786;Rottenmann;öffentl.;1;7;2;5;0.510204081632653;2;;1;;;
VS;313011;Volksschule;1714497.66,6155935.2;Aggsbach Markt 12;3641;Aggsbach;öffentl.;1;8;4;4;0.4464285714285714;2;;1;;;
VS;902171;Private Volksschule des Vereines Wiener Sängerknaben Augartenpalais;1823483.53,6143893.12;Obere Augartenstraße 1c,Augartenpalais;1020;Wien;privat;5;108;70;38;0.42989417989417983;26;;;;;1
VS;904081;Volksschule im Theresianum - V.i.T. - der Stiftung Theresianische Akademie Wien;1822398.21,6139038.25;Favoritenstraße 15;1040;Wien;privat;8;212;95;117;0.4295822102425876;51;;1;;;1
VS;919111;Private Volksschule (Maria Regina) des Vereins Vereinigung von Ordensschulen Österreichs;1820670.85,6147256.4;Döblinger Hauptstraße 83;1190;Wien;privat;13;296;151;145;0.42833011583011577;71;;3;;1;
VS;909051;Volksschule;1820548.86,6143655.08;Währinger Straße 43;1090;Wien;öffentl.;9;219;108;111;0.4240052185257664;52;;7;;;1
VS;201191;Volksschule St. Ursula Klagenfurt;1592434.5,5881090.41;Ursulinengasse 1;9010;Klagenfurt am Wörthersee;privat;11;245;115;130;0.42274052478134105;58;;10;;1;
VS;408291;Volksschule;1533805.13,6142307.14;Sankt Georgen bei Grieskirchen 31;4710;Grieskirchen;öffentl.;2;39;25;14;0.41208791208791207;9;;1;;;
VS;610301;Volksschule;1733783.2,5921835.64;Sankt Georgen/Stiefing 130;8413;Sankt Georgen an der Stiefing;öffentl.;5;74;36;38;0.4102316602316602;17;;11;;;
VS;418271;Privatschule Volksschule des Vereins Triangel+Co - Verein für ganzheitliches Leben und Lernen;1571139.34,6141423.06;Oberneufahrn 6;4614;Marchtrenk;privat;4;35;22;13;0.4081632653061224;8;;1;;;
VS;923131;Volksschule St. Ursula Wien;1810435.84,6132934.36;Franz-Asenbauer-Gasse 49;1230;Wien;privat;9;210;101;109;0.4081632653061224;48;;1;;;
VS;414061;Volksschule;1498640.29,6184995.82;Schulstraße 12;4786;Brunnenthal;öffentl.;6;92;55;37;0.40760869565217384;21;;12;;;
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;128;67;61;0.4045758928571428;29;;1;;;
VS;923191;Private Volksschule Kollegium Kalksburg des Vereins Vereinigung von Ordensschulen Österreichs;1808518.5,6129276.28;Promenadeweg 3;1230;Wien;privat;9;212;104;108;0.40431266846361186;48;1;2;;;
VS;321421;Volksschule Klosterneuburg Hermannstraße, Schule im Zentrum;1817105.7,6157484.15;Hermannstraße 11;3400;Klosterneuburg;öffentl.;8;156;79;77;0.4006410256410256;35;;11;;;
VS;913071;Volksschule des Schulvereins der Dominikanerinnen;1810334.28,6138983.68;Schloßberggasse 17;1130;Wien;privat;8;193;83;110;0.39785344189489263;43;1;;;;
VS;317141;Volksschule;1812277.31,6123158.31;Schulplatz 2;2344;Maria Enzersdorf;öffentl.;11;220;110;110;0.39772727272727265;49;;13;1;;
VS;321451;Private Volksschule des Vereins Vereinigung von Ordensschulen Österreichs;1814907.33,6161282.95;Kritzendorf, Hauptstraße 22;3420;Klosterneuburg;privat;9;180;99;81;0.39682539682539675;40;;1;;1;1
VS;616331;Private Volksschule Pack des Souveränen Malteser-Ritter-Ordens, Großpriorat Österreich;1668425.06,5938433.33;Pack 155;8583;Hirschegg-Pack;privat;1;9;5;4;0.39682539682539675;2;;9;;;
VS;701181;Volksschule Innere Stadt;1268611.53,5985918.97;Angerzellgasse 12;6020;Innsbruck;öffentl.;11;234;133;101;0.39682539682539675;52;;8;;;
VS;919091;Volksschule;1817704.88,6148423.84;Windhabergasse 2;1190;Wien;öffentl.;8;196;98;98;0.3917638483965014;43;;1;;;
VS;601501;Volksschule Sankt Peter;1722770.68,5950959.21;Thomas-Arbeiter-Gasse 12;8042;Graz-Sankt Peter;öffentl.;13;301;164;137;0.3915519696250593;66;;3;;;
VS;321401;Volksschule;1816666.52,6158640.12;Albrechtsstraße 59;3400;Klosterneuburg;öffentl.;9;194;93;101;0.38659793814432986;42;;18;;;
VS;401561;Volksschule 51 Auhofschule;1594584.85,6162372.23;Auhof, Aubrunnerweg 43;4040;Linz;öffentl.;4;74;39;35;0.3861003861003861;16;;11;;;4
VS;601621;Volksschule Berliner Ring;1725424.95,5954309.06;Rudolfstraße 242;8047;Graz-Ragnitz;öffentl.;8;176;84;92;0.38555194805194803;38;;5;;;1
VS;914091;Volksschule;1808442.36,6141356.04;Mondweg 73-83;1140;Wien;öffentl.;12;252;140;112;0.3826530612244897;54;1;5;;;2
VS;908041;Volksschule der P.P. Piaristen;1820099.98,6141901.83;Piaristengasse 43;1080;Wien;privat;12;295;145;150;0.38135593220338976;63;;4;;;
VS;612121;Volksschule;1609764.14,6040595.46;Hall 197;8911;Admont;öffentl.;4;61;30;31;0.38056206088992967;13;;9;1;;
VS;407431;Volksschule Ort des Schulvereins der Kreuzschwestern;1534256.45,6092367.37;Pensionatstraße 9;4810;Gmunden;privat;10;190;89;101;0.3759398496240601;40;;2;;1;1
VS;601551;Private Volksschule Sacre Coeur Graz des Vereins Vereinigung von Ordensschulen Österreichs;1720368.65,5952857.62;Petersgasse 1;8010;Graz;privat;12;247;125;122;0.3759398496240601;52;;1;;;1
VS;917031;Volksschule;1813681.86,6145531.91;Knollgasse 6;1170;Wien;öffentl.;16;362;185;177;0.37490134175217044;76;1;6;;;
VS;903031;Volksschule;1824847.5,6139163.76;Eslarngasse 23;1030;Wien;öffentl.;13;266;159;107;0.3692266380236304;55;;10;1;;1
VS;317171;Volksschule;1813461.14,6121619.52;Lerchengasse 35;2340;Mödling;öffentl.;8;165;84;81;0.36796536796536794;34;;4;;;
VS;210471;Volksschule;1570778.3,5901598.03;Sankt Ulrich, Scheiberweg 2;9560;Feldkirchen in Kärnten;öffentl.;4;68;39;29;0.3676470588235294;14;;2;;;
VS;409071;Volksschule;1573581.27,6117051.05;Kirchberg 19;4550;Kremsmünster;öffentl.;4;73;31;42;0.36692759295499017;15;;1;;1;
VS;611041;Josef Krainer-Volksschule;1666478.29,6009753.31;Gai 1;8793;Trofaiach;öffentl.;5;78;48;30;0.3663003663003663;16;;1;;;1
VS;901031;Private Volksschule der Schulstiftung der Erzdiözese Wien;1822217.45,6142122.6;Judenplatz 6;1010;Wien;privat;10;250;120;130;0.3642857142857142;51;;;;;
VS;305581;Private Volksschule des Vereins für Franziskanische Bildung;1655143.35,6127308.74;Rathausstraße 16;3300;Amstetten;privat;4;94;46;48;0.3609422492401215;19;;2;;;
VS;903121;Private Volksschule Sacre Coeur der Schulstiftung der Erzdiözese Wien;1824003.56,6139372.36;Rennweg 31;1030;Wien;privat;16;401;182;219;0.36070537940862124;81;1;4;;;
VS;106141;Volksschule;1838231.1,6058722.19;Kirchenplatz 1;7022;Schattendorf;öffentl.;7;95;41;54;0.35714285714285715;19;;7;;;
VS;204251;Volksschule;1573848.09,5867606.7;Ludmannsdorf 44;9072;Ludmannsdorf;öffentl.;4;60;36;24;0.35714285714285715;12;;2;;;
VS;921211;Private Volksschule des Schulvereins De La Salle;1824366.65,6156403.28;Anton-Böck-Gasse 20;1210;Wien;privat;16;376;206;170;0.356193009118541;75;;7;;1;
VS;106031;Volksschule Draßburg-Baumgarten;1835832.35,6063798.56;Schulgasse 1;7021;Draßburg;öffentl.;6;76;37;39;0.35244360902255634;15;;2;;;
VS;321441;Volksschule;1815552.73,6155428.29;Weidling, Löblichgasse 1;3400;Klosterneuburg;öffentl.;4;76;30;46;0.35244360902255634;15;;1;1;;
VS;302111;Private Volksschule Mary Ward des Vereins Vereinigung von Ordensschulen Österreichs;1739187.41,6140600.95;Schneckgasse 3;3100;St. Pölten;privat;17;386;189;197;0.3515914137675796;76;;17;;;
VS;316161;Volksschule;1844424.79,6166266.56;Bahngasse 14;2212;Großengersdorf;öffentl.;4;56;22;34;0.35076530612244894;11;;2;1;;
VS;910241;Volksschule des Institutes Neulandschulen;1824340.68,6133356.44;Ludwig-von-Höhnel-Gasse 17-19;1100;Wien;privat;18;428;223;205;0.35046728971962615;84;1;19;;;
VS;903111;Volksschule St. Franziskus des Schulvereines der Schulschwestern vom III. Orden des hl. Franziskus;1825385.86,6140179.35;Apostelgasse 5;1030;Wien;privat;8;184;77;107;0.3493788819875776;36;;1;;;
VS;201101;Volksschule 10 Theodor-Körner-Schule;1590306.5,5879686.29;Schubertstraße 31;9020;Klagenfurt am Wörthersee;öffentl.;14;307;161;146;0.34899953466728706;60;;12;;;1
VS;301081;Private Volksschule Mary Ward des Vereins Vereinigung von Ordensschulen Österreichs;1736795.46,6175821.05;Hoher Markt 1;3500;Krems an der Donau;privat;8;149;70;79;0.34755512943432404;29;;24;;;
VS;601441;Volksschule Mariagrün;1720451.36,5956727.33;Schönbrunngasse 30b;8043;Graz-Kroisbach;öffentl.;12;239;115;124;0.3436939629408248;46;;1;;;
VS;209131;Volksschule Maria Rojach;1656610.44,5898937.01;Maria Rojach 21;9422;St. Andrä;öffentl.;3;52;24;28;0.3434065934065934;10;;11;;;
VS;601681;Private Volksschule für sehbehinderte und blinde Kinder des Odilien-Schulvereins für Menschen mit Sehbehinderung, Blindheit und weiteren Behinderungen;1721489,5954783.92;Leonhardstraße 130;8010;Graz;privat;4;78;39;39;0.3434065934065934;15;;4;1;;
VS;202111;Volksschule 10;1541764.99,5881893.47;Vassacher Schulweg 2;9500;Villach;öffentl.;5;99;47;52;0.34271284271284264;19;;2;;;
VS;601521;Volksschule Waltendorf;1721789.46,5952981.07;Waltendorfer - Hauptstraße 17;8010;Graz;öffentl.;13;304;159;145;0.3406954887218045;58;1;6;;;
VS;907051;Private Volksschule (Mater Salvatoris) der Kongregation der Schwestern vom Göttlichen Erlöser;1818941.5,6140067.94;Kenyongasse 4-8;1070;Wien;privat;14;316;146;170;0.33905967450271246;60;1;19;;;1
VS;621201;Dr.-Adolf-Schärf-Volksschule;1701025.86,6015655.84;Redfeld, Pestalozzistraße 6;8605;Kapfenberg;öffentl.;6;111;55;56;0.33783783783783783;21;;12;;;
VS;601651;Private Volksschule des Schulvereins der Grazer Ursulinen;1720558.01,5954166.84;Leonhardstraße 62;8010;Graz;privat;12;278;143;135;0.33401849948612533;52;;3;;;1
VS;317131;Volksschule;1820190.67,6118235.82;Martin-Ebner-Gasse 10;2361;Laxenburg;öffentl.;5;91;44;47;0.3335949764521193;17;;5;;;
VS;307271;Volksschule;1825289.67,6124770.2;Hauptstraße 30;2333;Leopoldsdorf;öffentl.;10;209;110;99;0.3332194121667806;39;;17;;;
VS;317071;Volksschule;1812346.52,6114502.31;Schulgasse 21;2352;Gumpoldskirchen;öffentl.;8;161;82;79;0.3327417923691215;30;;14;;;
VS;304111;Private Volksschule des Vereins Schulverein Institut Sta. Christiana;1808395.12,6076890.01;Wienerstraße 65;2700;Wiener Neustadt;privat;12;260;134;126;0.32967032967032966;48;;8;;;
VS;907041;Private Volksschule Notre Dame de Sion der Schulstiftung der Erzdiözese Wien;1820317.45,6140862.85;Burggasse 37;1070;Wien;privat;13;326;155;171;0.3286590709903593;60;;3;;;
VS;923171;Private Volksschule der Schulstiftung der Erzdiözese Wien;1810159.63,6131523.4;Maurer Lange-Gasse 115;1230;Wien;privat;12;256;124;132;0.3278459821428571;47;;6;;;
VS;306271;Volksschule;1810510.12,6109673.12;Schulgasse 2;2511;Pfaffstätten;öffentl.;9;153;77;76;0.326797385620915;28;;5;;;
VS;317261;Volksschule St. Raphael der Schulstiftung der Erzdiözese Wien;1811104.58,6123311.42;Gießhübler Straße 41;2344;Maria Enzersdorf;privat;12;231;131;100;0.3246753246753247;42;;3;;;
VS;321391;Volksschule;1811550.23,6158456.79;Kierling, Hauptstraße 150-152;3400;Klosterneuburg;öffentl.;8;160;79;81;0.32366071428571425;29;;12;;;
VS;323151;Volksschule;1811212.99,6070199.36;Mühlgasse 4;2801;Katzelsdorf;öffentl.;6;117;49;68;0.3205128205128205;21;;10;;;1
VS;902211;Evangelische Volksschule Wien-Leopoldstadt des Verbandes der schulerhaltenden Wiener evangelischen Pfarrgemeinden A.B. (Schulgemeinde);1824027.62,6142897.68;Nepomukgasse 2;1020;Wien;privat;8;151;72;79;0.3192999053926206;27;1;3;;;
VS;917021;Volksschule (Kindermanngasse 1);1818017.38,6143154.46;dzt. p.A.: Panikengasse 31;1160;Wien;öffentl.;12;269;123;146;0.31864046733935203;48;;7;;;1
VS;202131;Volksschule 8;1545640.94,5882888.99;Landskron, Ossiacher Straße 67;9523;Villach;öffentl.;9;185;96;89;0.3185328185328185;33;;20;;;1
VS;915081;Private Volksschule des Vereins Vereinigung von Ordensschulen Österreichs;1818297.16,6138627.73;Friesgasse 4;1150;Wien;privat;10;208;101;107;0.3176510989010989;37;4;14;;;
VS;204371;Volksschule;1573993.56,5883092.24;Kirchplatz 6;9210;Pörtschach am Wörther See;öffentl.;6;90;47;43;0.31746031746031744;16;;4;;;
VS;918121;Private Volksschule Albertus Magnus Schule des Vereins Vereinigung von Ordensschulen Österreichs;1819952,6145000.07;Semperstraße 45;1180;Wien;privat;13;304;167;137;0.3171992481203007;54;;2;;;1
VS;919061;Volksschule;1818857.48,6149534.01;Mannagettagasse 1;1190;Wien;öffentl.;10;243;120;123;0.3159905937683715;43;1;6;;;1
VS;205271;Volksschule;1599306.68,5911110.9;Kraig/Schulstraße 18;9311;Frauenstein;öffentl.;5;80;40;40;0.31249999999999994;14;;1;;;
VS;703431;Volksschule;1274215.03,5983113.23;Dorf 33;6071;Aldrans;öffentl.;7;120;67;53;0.31249999999999994;21;;4;;;
VS;904071;Volksschule der P.P. Piaristen;1821696.86,6138305.68;Wiedner Hauptstraße 82;1040;Wien;privat;9;223;97;126;0.3122998078155029;39;;1;;;
VS;306151;Volksschule;1802847.14,6100738.54;Gainfarn, Hauptstraße 54;2540;Bad Vöslau;öffentl.;9;189;97;92;0.3117913832199546;33;;10;;;
VS;620201;Volksschule;1652689.6,5982625.92;Marktstraße 4;8723;Kobenz;öffentl.;6;92;50;42;0.3105590062111801;16;;8;;;
VS;319671;Josef-Schöffel-Volksschule;1800480.76,6141193.35;Schwarzhubergasse 7;3002;Purkersdorf;öffentl.;19;410;217;193;0.3092334494773519;71;1;21;1;;
VS;417501;Volksschule;1513823.78,6119633.75;Zell am Pettenfirst 12;4842;Zell am Pettenfirst;öffentl.;3;52;30;22;0.309065934065934;9;;2;;;
VS;321281;Volksschule;1804572.56,6160712.2;Greifensteinerstraße 22;3423;St. Andrä-Wördern;öffentl.;12;266;134;132;0.30880773361976366;46;;17;1;;1
VS;913021;Volksschule;1812803.36,6138453.52;Auhofstraße 49;1130;Wien;öffentl.;10;243;117;126;0.3086419753086419;42;1;10;;;3
VS;319471;Volksschule;1799697.79,6148235.3;Hauptstraße 250;3001;Mauerbach;öffentl.;8;157;80;77;0.3070973612374886;27;;4;;;
VS;107311;Private römisch-katholische Volksschule des Vereins Vereinigung von Ordensschulen Österreichs;1875484.12,6097773.09;Untere Hauptstraße 66;7100;Neusiedl am See;privat;8;176;85;91;0.3043831168831168;30;;15;;;
VS;401541;Volksschule 2 Bertha-Von-Suttner-Schule;1592407.93,6162500.98;Dornacher Straße 33;4040;Linz;öffentl.;11;229;121;108;0.3041172800998128;39;;5;;;
VS;606201;Volksschule;1707220.91,5960774.22;Schulstraße 3;8111;Gratwein-Straßengel;öffentl.;12;241;140;101;0.30379371665678717;41;;13;2;;
VS;908031;Volksschule;1820072.41,6141513.17;Zeltgasse 7;1080;Wien;öffentl.;8;200;110;90;0.30357142857142855;34;;1;;;
VS;921191;Volksschule;1825774.99,6148888.19;Prießnitzgasse 1-3/II;1210;Wien;öffentl.;18;418;217;201;0.30331510594668487;71;1;37;;;1
VS;921411;Priv.Volksschule Avicenna (lbn Sina) d. Vereins Kulturverein f. Völkerverständigung u. Bildung, Hafes-Goethe (HAGOE);1824464.56,6152866.52;Prager Straße 124;1210;Wien;privat;4;106;37;69;0.30323450134770885;18;;6;;;
VS;909041;Volksschule;1820895.36,6144803.24;Marktgasse 31-35;1090;Wien;öffentl.;9;165;88;77;0.30303030303030304;28;;31;;;1
VS;620311;Volksschule;1646086.71,5987254.76;Benediktstraße 1;8732;Seckau;öffentl.;4;65;30;35;0.3021978021978022;11;;9;;;
VS;918051;Volksschule;1816428.23,6146416.5;Scheibenbergstraße 63;1180;Wien;öffentl.;11;249;121;128;0.3012048192771084;42;;2;;;1
VS;919101;Volksschule des Institutes Neulandschulen;1818813.46,6148786.27;Alfred-Wegener-Gasse 10;1190;Wien;privat;11;255;138;117;0.3011204481792717;43;;2;;;1
VS;323491;Private Volksschule des Vereins Schulverein Institut Sta. Christiana;1809028.25,6064185.09;Wiener Neustädter Straße 74;2821;Lanzenkirchen;privat;5;89;47;42;0.30096308186195825;15;;12;1;;1
VS;317201;Volksschule;1810131.09,6127026.77;Roseggergasse 2-6;2380;Perchtoldsdorf;öffentl.;12;279;144;135;0.3008192524321556;47;1;4;;;
VS;401611;Private Volksschule des Schulvereins der Kreuzschwestern;1590275.72,6156405.39;Stockhofstraße 10;4020;Linz;privat;8;185;85;100;0.29922779922779924;31;;15;;;
VS;918151;Private Volksschule des Schulvereins De La Salle;1819087.92,6144257.27;Schopenhauerstraße 44-46;1180;Wien;privat;11;209;102;107;0.29904306220095694;35;;15;;;1
VS;901021;Volksschule;1823276.56,6141362.19;Stubenbastei 3;1010;Wien;öffentl.;12;283;145;138;0.29656739020696615;47;;8;;;2
VS;201221;Volksschule 20 Klagenfurt;1588864.29,5875359.93;Schulstraße 2;9073;Klagenfurt am Wörthersee;öffentl.;13;278;144;134;0.2954779033915724;46;;26;;;
VS;319651;Volksschule;1789734.12,6136625.63;Hauptstraße 77;3021;Pressbaum;öffentl.;12;266;130;136;0.29538131041890436;44;;22;1;;
VS;417021;Volksschule;1516709.63,6102189.68;Altlenzing 31;4860;Lenzing;öffentl.;5;103;51;52;0.2947295423023578;17;;10;;;
VS;923181;Volksschule II;1816142.56,6132021.1;Anton-Baumgartner-Straße 44/II;1230;Wien;öffentl.;12;297;148;149;0.2946127946127946;49;1;16;;;1
VS;312111;Volksschule;1821098.39,6157935.05;Steyrergasse 22;2103;Langenzersdorf;öffentl.;14;273;136;137;0.2943485086342229;45;1;17;1;;
VS;914101;Volksschule Josefinum der Pfarre Breitensee;1815373.9,6140491.91;Breitenseer Straße 31;1140;Wien;privat;17;407;208;199;0.29396279396279396;67;41;6;;;
VS;307041;Volksschule Hauptplatz;1867753.17,6111199.93;Hauptplatz 8;2460;Bruck an der Leitha;öffentl.;10;201;112;89;0.29317697228144984;33;;29;2;;1
VS;610031;Volksschule;1734495.46,5897580.66;Georgigasse 205;8461;Ehrenhausen an der Weinstrße;öffentl.;4;67;36;31;0.29317697228144984;11;;10;;;
VS;414331;Volksschule;1498336.92,6191611.76;Schulstraße 7;4783;Wernstein am Inn;öffentl.;3;55;35;20;0.2922077922077922;9;;2;;;
VS;902151;Volksschule;1825159.39,6144398.13;Ernst-Melchior-Gasse 9;1020;Wien;öffentl.;16;368;192;176;0.2911490683229813;60;;18;;;
VS;707271;Volksschule Lienz-Nord;1421135.24,5915348.86;Emanuel-Von-Hibler-Straße 10;9900;Lienz;öffentl.;9;154;93;61;0.2898886827458256;25;;27;1;;
VS;802071;Private Volksschule Sacre Coeur Riedenburg des Vereins Vereinigung von Ordensschulen Österreichs;1083254.35,6022312.12;Arlbergstraße 88-96;6900;Bregenz;privat;8;154;70;84;0.2898886827458256;25;;6;;;
VS;201261;Zweisprachige Volksschule 24 Javna dvojezicna ljudska sola 24;1594661.05,5880814.35;Ebentaler Straße 24;9020;Klagenfurt am Wörthersee;öffentl.;8;111;55;56;0.28957528957528955;18;;3;;;
VS;701201;Volksschule;1269819.37,5980025.28;Igls, Habichtstraße 9;6080;Innsbruck;öffentl.;8;111;63;48;0.28957528957528955;18;;5;;;
VS;922311;Volksschule;1828342.26,6146298.28;Wagramer Straße 27;1220;Wien;öffentl.;11;253;141;112;0.28938452851496327;41;3;11;;;1
VS;919041;Volksschule;1820322.85,6146920.19;Kreindlgasse 24;1190;Wien;öffentl.;9;216;92;124;0.2893518518518518;35;;4;;;2
VS;106121;Volksschule;1828784.97,6058267.52;Hauptplatz 1;7222;Rohrbach bei Mattersburg;öffentl.;5;87;34;53;0.28735632183908044;14;;4;;;
VS;501011;Volksschule Aigen;1456958.51,6071694.6;Reinholdgasse 18;5020;Salzburg;öffentl.;12;218;104;114;0.286697247706422;35;;6;;;1
VS;916041;Volksschule;1815706.6,6143410.45;Julius-Meinl-Gasse 1;1160;Wien;öffentl.;14;324;167;157;0.2865961199294532;52;1;7;;;
VS;210511;Volksschule;1559720.98,5893117.67;Dorfstraße 55a;9552;Steindorf am Ossiacher See;öffentl.;2;50;31;19;0.2857142857142857;8;;3;;;
VS;904011;Volksschule St. Elisabeth-Platz;1822847.55,6138583.92;St.-Elisabeth-Platz 8;1040;Wien;öffentl.;10;238;128;110;0.28511404561824727;38;;3;;;
VS;914051;Volksschule;1809589.9,6140551.56;Linzer Straße 419;1140;Wien;öffentl.;17;420;233;187;0.28486394557823125;67;1;6;;1;1
VS;906021;Volksschule;1820357.58,6139493.28;Corneliusgasse 6;1060;Wien;öffentl.;11;253;122;131;0.282326369282891;40;1;5;;;1
VS;501221;Private Volksschule des Vereins für Bildung und Erziehung der Franziskanerinnen von Vöcklabruck;1451490.48,6074657.86;Schwarzstraße 35;5020;Salzburg;privat;13;266;123;143;0.28195488721804507;42;;5;;1;1
VS;621191;Dr.-Karl-Renner-Volksschule;1702813.81,6015669.66;Otto-Hauberger-Straße 54;8605;Kapfenberg;öffentl.;4;76;37;39;0.28195488721804507;12;;3;;;2
VS;906061;Private Volksschule St. Marien des Vereins Vereinigung von Ordensschulen Österreichs;1819445.28,6138900.42;Liniengasse 21;1060;Wien;privat;13;307;170;137;0.2791996277338296;48;;4;;;
VS;901011;Volksschule;1822172.3,6142465.06;Börsegasse 5;1010;Wien;öffentl.;8;180;84;96;0.27777777777777773;28;1;4;;;1
VS;601161;Volksschule Nibelungengasse;1720430.97,5953237.94;Nibelungengasse 18;8010;Graz;öffentl.;12;273;132;141;0.2747252747252747;42;1;6;;;1
VS;307201;Volksschule;1893141.27,6129500.14;Bahnhofstraße 6E;2412;Wolfsthal;öffentl.;7;98;58;40;0.2733236151603498;15;;3;;;1
VS;910231;Private Volksschule des Institutes Neulandschulen;1822116.87,6136931.97;Alxingergasse 8;1101;Wien;privat;11;229;123;106;0.2729257641921397;35;;16;;;1
VS;202141;Volksschule 13;1546399.11,5878854.99;Dr.-Schärf-Straße 18;9524;St. Magdalen;öffentl.;4;72;36;36;0.2728174603174603;11;;3;;;
VS;902241;Volksschule 2, Wehlistraße;1826345.67,6144036.48;Wehlistraße 178;1020;Wien;öffentl.;8;177;87;90;0.27239709443099275;27;;15;;;
VS;903061;Volksschule;1824526.91,6141865.48;Kolonitzgasse 15;1030;Wien;öffentl.;13;282;153;129;0.272289766970618;43;;10;;1;1
VS;401411;Volksschule 41 Pöstlingbergschule;1587414.92,6161061.51;Samhaberstraße 48;4040;Linz-Pöstlingberg;öffentl.;4;79;35;44;0.27124773960216997;12;;2;;;
VS;321411;Volksschule;1817674.54,6155922.75;Anton-Bruckner-Gasse 6;3400;Klosterneuburg;öffentl.;11;224;119;105;0.27104591836734687;34;;2;2;;
VS;204091;Volksschule 1;1592330.77,5865403.29;Neubaugasse 7;9170;Ferlach;öffentl.;8;119;59;60;0.2701080432172869;18;;11;;;
VS;621181;Volksschule;1705314.95,6016710.92;Hafendorf 1;8605;Kapfenberg;öffentl.;6;86;50;36;0.2699335548172757;13;;9;;;
VS;410261;Volksschule;1576619.86,6156720.67;Schönering, Schulstraße 4;4073;Wilhering;öffentl.;9;159;91;68;0.2695417789757412;24;;7;;;2
VS;307261;Volksschule;1828764.52,6123972.52;Schulgasse 2;2326;Lanzendorf;öffentl.;10;186;101;85;0.26881720430107525;28;;4;;;1
VS;201251;Volksschule 23 Klagenfurt;1586608.61,5888319.54;Römerweg 36;9061;Klagenfurt am Wörthersee;öffentl.;8;193;90;103;0.268319763138416;29;;15;;;
VS;207081;Volksschule;1565823.74,5873099.61;Egydenerstraße 472;9536;St. Egyden;öffentl.;1;20;8;12;0.26785714285714285;3;;1;;;
VS;922101;Volksschule I;1830557.65,6147332.89;Natorpgasse 1;1222;Wien;öffentl.;13;301;157;144;0.2669672520170859;45;2;20;;;1
VS;909021;Volksschule;1819657.31,6143025.86;Gilgegasse 12;1090;Wien;öffentl.;9;174;88;86;0.26683087027914615;26;1;4;;1;2
VS;319281;Volksschule;1773293.2,6138447.03;Schwabstraße 3;3034;Maria-Anzbach;öffentl.;6;101;50;51;0.26520509193776515;15;;9;;;
VS;803031;Volksschule;1083286.88,6011023.84;Rohrbach, Johann-Strauss-Straße 18;6850;Dornbirn;öffentl.;11;209;113;96;0.26486671223513325;31;;38;;;
VS;617461;Volksschule;1743258.36,5967436.89;Flurgasse 329;8181;Sankt Ruprecht an der Raab;öffentl.;11;203;107;96;0.2638986629134412;30;;20;;;
VS;101071;Volksschule;1836650.59,6080201.13;Kleinhöfleiner Hauptstraße 8a;7000;Eisenstadt;öffentl.;4;88;48;40;0.2637987012987013;13;;2;;;
VS;601221;Viktor-Kaplan-Volksschule;1716814.53,5958879.62;Andritzer Reichsstraße 35b;8045;Graz-Andritz;öffentl.;16;352;195;157;0.2637987012987013;52;1;15;;;2
VS;306051;Volksschule;1805412.63,6107188.85;Radetzkystraße 14;2500;Baden;öffentl.;11;244;121;123;0.2634660421545667;36;;16;;;
VS;310221;Volksschule;1761701.68,6202415.41;Kirchenplatz 5;3712;Maissau;öffentl.;4;61;42;19;0.2634660421545667;9;;10;1;;
VS;914031;Volksschule;1805966.32,6141781.63;Hauptstraße 70;1140;Wien;öffentl.;11;245;144;101;0.26239067055393583;36;;5;;;1
VS;502161;Volksschule;1458017.94,6056772.59;Mauerhofweg 5;5411;Oberalm;öffentl.;9;184;95;89;0.2620341614906832;27;;4;;;1
VS;103141;Volksschule;1848503.98,6074174.25;Hauptplatz 5;7062;Sankt Margarethen im Burgenland;öffentl.;5;75;40;35;0.26190476190476186;11;;2;;;
VS;316591;Volksschule Wolkersdorf im Weinviertel;1839116.67,6169877.02;Kirschenallee 2;2120;Wolkersdorf im Weinviertel;öffentl.;14;307;147;160;0.2617496510004653;45;;31;;;
VS;921071;Volksschule;1827137.3,6156905.36;Dr.-Skala-Straße 43-45;1210;Wien;öffentl.;9;198;95;103;0.2615440115440115;29;1;30;;;1
VS;503141;Volksschule;1446352.06,6064572.16;Fürstenbrunn;5082;Grödig;öffentl.;6;89;40;49;0.26083467094703044;13;;;;;
